Id;Nombre;Apellido1;Apellido 2;Sexo;Usuario;Contraseña;Correo;Nacimiento;NumeroLikesRecibidos;Estatura;Edad
22;Manuel;Arellano;Solis;H;manuelarellano;&zHgVj}P.AJ7XRW;manuelarellano@mail.es;27/10/1964;32;1,62;55
23;Jose Luis;Martinez;Cruces;H;martinez74;/CG+2G*H]2)JtU_;martinez74@mail.com;20/07/1974;71;1,81;45
24;Vicente;Garcia;Esteban;H;garcia24;nzdvJM3:UwXMfZ@;garcia24@correo.com;29/07/1971;61;1,85;48
25;Miguel angel;Trinidad;Moreno;H;miguelangel.trinidad;9zn=bW:!_/e#?WX;miguelangel.trinidad@email.es;18/01/1994;20;1,51;25
26;Rafael;Ordoñez;Gaspar;H;rafordoñez;+Uj5Y$G*6g6_!Cr;rafordoñez@mail.es;1/11/1963;57;1,82;55
27;alvaro;Garcia;Sanchez;H;alv.garcia;+dNerBh.YYN-7Cc;alv.garcia@correo.com;3/03/1991;60;1,88;28
28;Miguel angel;Bayona;Piris;H;miguebayona;ZC{5*d}6)xxe?pa;miguebayona@email.net;7/09/1953;6;1,94;66
29;Salvador;Aguilar;Reyes;H;salvadoraguilar;";KC)USZUWP;Kzcv";salvadoraguilar@correo.net;15/02/1935;11;1,88;84
30;Manuel;Jover;Juarez;H;jover94;=z/&$n}vSB%b[3V;jover94@correo.net;22/11/1949;86;1,93;69
31;Miguel angel;Vega;Rodriguez;H;m.vega;r9bRYaW_h:z3]XV;m.vega@mail.net;5/07/1958;40;1,59;61
32;Jose;Herrera;Lopez;H;j.herrera;UeQCmE:TQ%4y*)a;j.herrera@email.net;1/02/1976;94;1,96;43
33;Antonio;Alvarez;Martinez;H;alvarez24;BmJxZcxK4i}k2*};alvarez24@email.com;20/06/1955;84;1,97;64
34;angel;Gaona;Zabala;H;angelgaona;u=)PPqwB].JY:e[;angelgaona@correo.com;29/11/1935;49;1,82;83
35;Francisco;Cruz;Garcia;H;fra.cruz;NPd2n.Q*%[Xckjw;fra.cruz@mail.net;14/12/1943;37;1,88;75
36;Antonio;Fernandez;Jimenez;H;antoniofernandez74;#pC}Vg/u.#gw4cG;antoniofernandez74@email.net;23/08/1976;29;1,88;43
37;Francisco;Velazquez;Gimeno;H;f.velazquez;{g%e=G#AKc_&V}i;f.velazquez@mail.es;8/06/1960;83;1,63;59
38;Antonio;Conde;Carpintero;H;conde96;d9/mxyD@vvc7qC?;conde96@correo.es;2/09/1957;96;1,58;62
39;Juan;Tejeda;Ferrero;H;tejeda93;LZiNXjj4?5(+TM_;tejeda93@correo.com;24/02/1991;78;1,52;28
40;angel;Jimenez;Martin;H;angjimenez;A[GHx.xRUw/9Qrh;angjimenez@correo.com;7/07/1961;43;1,65;58
41;Jose Luis;Guijarro;Robles;H;guijarro54;"d}w%)BREvFp;djK";guijarro54@correo.es;18/04/1948;37;1,75;71
42;Francisco;Salinas;Pons;H;fra.salinas;6dN9br=,7e%#vm=;fra.salinas@email.es;21/11/1949;92;1,52;69
43;Francisco;Leiva;Cano;H;franciscoleiva;_=B,j@uG5HMUSmv;franciscoleiva@email.com;2/06/1964;69;1,96;55
44;Jose Luis;Osorio;Suarez;H;jososorio;3pS#7*g&QuZEGgh;jososorio@email.net;21/02/1980;37;1,77;39
45;Juan Carlos;Sanmartin;Valdivia;H;jsanmartin;JxmE3ceP:tVwT3i;jsanmartin@mail.es;5/10/1944;66;1,53;75
46;Santiago;Ares;Riba;H;santiagoares65;RDH[SHpTg)LtY:f;santiagoares65@correo.com;28/05/1960;75;1,72;59
47;Juan;Santos;Sanchez;H;jua.santos;-$CguNg%2y,QP9E;jua.santos@correo.net;12/11/1958;3;1,89;60
48;Jose Antonio;Jimenez;Gonzalez;H;joseantoniojimenez;-PZGgk?.nS]2vTy;joseantoniojimenez@correo.com;24/12/1946;99;1,69;72
49;Jose;Llorens;Perez;H;llorens76;jCf?9)J+4e]CRBJ;llorens76@mail.net;6/04/1994;77;1,62;25
50;Jose Maria;Garmendia;Lopez;H;garmendia19;!u%852N2MRpd:b#;garmendia19@mail.es;28/02/1965;26;1,66;54
51;Francisco Javier;Cuesta;Rivero;H;franciscojavier.cuesta;ENR4i6VPZ%}f/.S;franciscojavier.cuesta@email.com;6/02/1969;18;1,89;50
52;Alejandro;Parejo;Domingo;H;aleparejo;7##E8T2XCd#8djC;aleparejo@mail.net;20/08/1994;43;1,77;25
53;angel;Rodriguez;Hernandez;H;angel.rodriguez;Nmw,ry:Zp-9zN}c;angel.rodriguez@email.es;6/12/1979;32;1,62;39
54;Juan Antonio;Exposito;Leon;H;jua.exposito;ZBdZ:HkL(Ye+:x8;jua.exposito@email.com;13/07/1967;21;1,88;52
55;Carlos;Murillo;Carceles;H;cmurillo67;g&{g%j*7($56gR,;cmurillo67@correo.com;30/08/1965;92;1,59;54
56;Juan Carlos;Barranco;Gomez;H;jua.barranco;%+C7@}XyTRi-!g);jua.barranco@mail.com;5/03/1944;73;1,54;75
57;Francisco;Frances;Pereira;H;ffrances;C6iA7U}$YbM)R$m;ffrances@email.com;5/01/1954;64;1,77;65
58;David;Rodriguez;Duran;H;davrodriguez;"Y=Mkdhwq;8.*gxz";davrodriguez@correo.es;23/04/1948;8;1,90;71
59;Ramon;Carril;Ramos;H;rcarril;[d(=kqcQp.b8MAn;rcarril@mail.com;11/03/1946;22;1,90;73
60;Vicente;Ruiz;Andreu;H;ruiz96;$F/HVC*$pZhBJUM;ruiz96@email.es;21/02/1936;14;1,52;83
61;Jose Luis;Amoros;Lopez;H;joseluisamoros;{7w,Hy@HxJ)Xbkv;joseluisamoros@mail.net;16/02/1975;53;1,54;44
62;Raul;Catala;Hernandez;H;raucatala;q*,zXM[R/!Mj#R6;raucatala@mail.com;24/07/1995;100;1,91;24
63;Sergio;Gonzalez;Moyano;H;sergiogonzalez;%Qca_rae$BjNbdh;sergiogonzalez@correo.net;7/09/1977;75;1,69;42
64;Jose;Garcia;Ballesteros;H;jgarcia;R?W-=R$_7yHn:2#;jgarcia@email.com;2/07/1969;29;1,78;50
65;Sergio;Losada;Espinosa;H;s.losada;C%pW3UEuwXV:QS*;s.losada@correo.es;1/07/1943;20;1,85;76
66;Alfonso;Julian;Centeno;H;julian39;7V?5]axZ#vGPPU_;julian39@correo.net;9/07/1984;46;1,75;35
67;alvaro;Diaz;Valero;H;alvarodiaz;Z)#qQ&ygFg(H4*R;alvarodiaz@correo.es;13/06/1951;1;1,82;68
68;angel;Alvarez;Heredia;H;aalvarez;%Tpc2p*vRN$qwP.;aalvarez@mail.com;26/04/1961;95;1,80;58
69;Miguel;Muñoz;Sanchez;H;mmuñoz;]:ND+]j3ED_wr&K;mmuñoz@email.com;14/11/1974;45;1,81;44
70;Miguel;Roca;Alba;H;mroca;[Xz9v(NJZqw59ue;mroca@correo.es;28/10/1937;12;1,88;82
71;Antonio;Neira;Diaz;H;a.neira;"naCZ#YFv4/;(}.U";a.neira@mail.es;29/01/1972;90;1,95;47
72;Miguel angel;Sanchez;Gonzalez;H;msanchez;Z.x9&WKWU(3D&}a;msanchez@mail.es;9/08/1986;91;1,66;33
73;Juan Jose;Godoy;Roca;H;jgodoy;HdWkE8?(H?zZCub;jgodoy@correo.net;20/07/1936;85;1,94;83
74;Jose;Cortes;Fernandez;H;jcortes;";F6Sie}L,)6*G}i";jcortes@mail.net;27/07/1969;57;1,80;50
75;Rafael;Garcia;Marquez;H;rafaelgarcia78;NcvNS(@7=9CLi3T;rafaelgarcia78@mail.com;21/10/1946;91;1,66;73
76;Jose Antonio;Nuñez;Garcia;H;jnuñez;$(D[Wu3B6gjRkub;jnuñez@correo.net;16/08/1962;12;1,68;57
77;angel;Merino;Mera;H;merino48;(,KCRm_!qk&{r=F;merino48@mail.net;15/11/1978;68;1,95;40
78;Miguel;Cueto;Muñoz;H;m.cueto;m!CGFhMbg)6vy/f;m.cueto@correo.com;28/07/1953;10;1,65;66
79;Francisco Javier;Sanchez;Castillo;H;sanchez55;Gb/ZiP8%tc@jE?:;sanchez55@email.com;22/09/1960;30;1,77;59
80;Rafael;Alonso;Barbero;H;alonso95;BWdhuQ/c)=]mEfB;alonso95@email.net;19/01/1979;43;1,59;40
81;Javier;Cano;Ruiz;H;cano13;}bUQgJA:g]rSZk!;cano13@correo.es;21/05/1998;43;1,74;21
82;Manuel;Ortiz;Sanchez;H;ortiz23;z%3i$D{XZU!nar};ortiz23@mail.com;4/02/1971;39;1,83;48
83;Joaquin;Vidal;Alvarado;H;joaquin.vidal;t7u$AcBgqpDx8yQ;joaquin.vidal@mail.com;30/08/1975;21;1,99;44
84;Alfonso;Padilla;Marques;H;alfonsopadilla52;a)%LdcpufLU&QJf;alfonsopadilla52@correo.com;8/03/1948;89;1,90;71
85;Miguel angel;Rubio;Lopez;H;migrubio;VxzD#cA9%*_M.6/;migrubio@correo.es;21/10/1969;55;1,61;50
86;Miguel angel;Fernandez;Bravo;H;migue.fernandez;BM*E+?$aS6n8epG;migue.fernandez@correo.com;4/07/1962;53;1,74;57
87;Francisco;Carranza;Garces;H;franciscocarranza;f,#hBE$@zG+P3EZ;franciscocarranza@correo.net;27/11/1996;23;1,85;22
88;Enrique;Guerrero;Barragan;H;guerrero17;S!eHJ_i)8-zQ4,k;guerrero17@mail.es;18/10/1937;54;1,57;82
89;Juan Jose;Campos;Garcia;H;j.campos;"MJ&TiF[;bLg@P,d";j.campos@email.net;30/11/1959;77;1,57;59
90;Francisco Javier;Piñero;Tovar;H;frapiñero;TJ9-&dFtaNC.L&-;frapiñero@email.es;18/08/1977;45;1,70;42
91;Alejandro;Lastra;Mora;H;alejandrolastra100;8C839hy]bbBjTMU;alejandrolastra100@correo.net;15/11/1962;30;1,86;56
92;Jose Luis;Garcia;Pereira;H;jos.garcia;"f)},HjmvG;K@j;g";jos.garcia@correo.es;27/02/2001;10;2,00;18
93;Francisco;Santiago;Navarro;H;santiago26;TJT7!$Tm@:g{RD2;santiago26@correo.es;14/04/1942;90;1,67;77
94;Antonio;Otero;Navas;H;ant.otero;4n{UXwpUzrV6y35;ant.otero@email.net;24/04/1957;14;1,88;62
95;Juan Antonio;Garcia;Merino;H;garcia32;"ZP{!k8zZx=yaZ;Q";garcia32@mail.es;9/02/1989;15;1,59;30
96;Jorge;Abad;Garcia;H;jorgeabad;V#$FUV2NV(jv%BF;jorgeabad@mail.net;30/01/1950;34;1,72;69
97;angel;Gonzalez;Conde;H;agonzalez;VqDh-quBt9ry]Ky;agonzalez@mail.es;27/11/1958;61;1,62;60
98;Miguel;Marco;Pelaez;H;mig.marco;vq$+PpjArnDa3fT;mig.marco@correo.com;6/06/1953;46;1,77;66
99;Enrique;Rodriguez;Mena;H;enrrodriguez;b?}u7&KS{RKLN$j;enrrodriguez@mail.com;9/09/1953;36;1,60;66
100;Pablo;Esteve;Galan;H;pabloesteve;,.h/-vQ@X*PMNL5;pabloesteve@mail.es;11/09/1988;73;1,77;31
101;Manuel;Carrion;Fernandez;H;manuelcarrion;"PHM3aG5m;5Wqr7?";manuelcarrion@email.com;17/08/1962;80;1,58;57
102;Sergio;Moya;Moral;H;moya67;B8YMA[f_p5!4A+t;moya67@correo.net;19/03/1936;13;1,70;83
103;Jaume;Ferri;Moreno;H;jaumeferri;=U9N+i)u-twpdtA;jaumeferri@email.es;31/01/1947;17;1,80;72
104;Adrian;Rey;Quintanilla;H;adr.rey;,L+79uxYcF?aZSZ;adr.rey@correo.net;21/11/1968;71;1,61;50
105;Manuel;Castaño;Diez;H;castaño2;2Qi86QpB})Mexr.;castaño2@correo.com;24/07/1979;47;1,80;40
106;Javier;Rico;Lopez;H;jrico;%gg?USP24,42Qyh;jrico@email.es;8/12/1982;23;1,51;36
107;Mohamed;Moreno;Rodriguez;H;mohamedmoreno47;%Q:-Jq=@r$*:R,!;mohamedmoreno47@mail.com;11/07/1944;34;1,90;75
108;Diego;Alfaro;Sanchez;H;alfaro21;inp+r4Zr[qa-$M7;alfaro21@email.net;8/04/1969;5;1,65;50
109;Ignacio;Hernandez;Aznar;H;hernandez7;Ti/=L,d?wC%V,Q/;hernandez7@correo.net;16/07/1954;76;1,59;65
110;Jose;Gutierrez;Fernandez;H;gutierrez88;G!Xh2}Tax9G2589;gutierrez88@mail.es;19/02/1982;90;1,82;37
111;Jose Antonio;Ruiz;Iglesias;H;josruiz29;VEc4X/p6weQUDxT;josruiz29@mail.es;24/03/1960;83;1,61;59
112;Carlos;Perez;Varela;H;perez71;rHB5LqJ/,XL_cZk;perez71@mail.com;1/08/1954;95;1,93;65
113;Antonio;Benavent;Perez;H;abenavent;t/K#vVKuAr2-.d6;abenavent@mail.es;16/05/1936;62;1,73;83
114;Francisco Javier;Martin;Ros;H;franciscojaviermartin18;.xH&F}?#%NZ8Jc9;franciscojaviermartin18@mail.net;8/07/1979;2;1,77;40
115;Miguel angel;Peña;Rodriguez;H;migpeña;"F@$!f#tBM6gA2;z";migpeña@email.net;13/08/1956;93;1,78;63
116;Antonio;Parra;Hinojosa;H;antonioparra1;9)Q#@WK*GEJjDEp;antonioparra1@correo.es;16/02/1998;95;1,93;21
117;Carlos;De la Fuente;Lopez;H;d57;2vQ:th!W$_9k&9/;d57@mail.es;17/05/1997;26;1,99;22
118;Jose;Mansilla;Garcia;H;j.mansilla;UVzWY#9Qimt.@6/;j.mansilla@mail.es;24/02/1944;4;1,59;75
119;angel;Alonso;Muñoz;H;angel.alonso;,y4j&ttu{[QZ7SY;angel.alonso@mail.net;6/11/1940;96;1,89;78
120;Antonio;Cervera;Jimenez;H;acervera89;u--wVvR9$NViQ/$;acervera89@correo.es;25/08/1947;11;1,85;72
121;Pablo;Cortes;Mora;H;pabcortes95;v.QD.dk/85h(%uR;pabcortes95@email.com;25/03/1981;82;1,94;38
122;Francisco;Roman;Gonzalez;H;roman43;Qq:B$gY8Exy?/7B;roman43@email.com;23/12/1943;93;1,60;75
123;angel;Garcia;Montero;H;garcia20;6VX3qg4u_hLTxJ,;garcia20@email.es;20/03/1976;7;1,94;43
124;Antonio;Calvo;Ordoñez;H;acalvo;"R{m9yV-@;,dwVwh";acalvo@email.es;10/05/1989;75;1,53;30
125;Daniel;Fernandez;Salazar;H;d.fernandez;_yVqe[bx[gN$A27;d.fernandez@email.es;25/10/1943;39;1,61;76
126;Jose Luis;Ortega;Herrera;H;jos.ortega;"(FN*Y{f_c[9[HA;";jos.ortega@email.net;27/03/1963;62;1,68;56
127;Jose Luis;Rosell;Gonzalez;H;jrosell;.MYwdpB6nG&8acZ;jrosell@mail.com;28/02/1965;71;1,77;54
128;Manuel;Fernandez;Dueñas;H;manuelfernandez5;fnqW*=97MPA&#qR;manuelfernandez5@mail.net;24/12/1992;88;1,61;26
129;Jose;Cabeza;Fernandez;H;jos.cabeza;";VRhwHzR4@v)m?w";jos.cabeza@email.com;10/04/1997;25;1,60;22
130;Pablo;Alonso;Rius;H;palonso65;#&q9eVb(PDKSvWx;palonso65@email.es;24/01/1947;14;1,57;72
131;Antonio;Pinto;Herrera;H;pinto87;Zy!DjQTPCeG@VXp;pinto87@email.com;4/09/1964;49;1,60;55
132;Antonio;Ruiz;Vicente;H;antruiz;AXEt4/$7H,Q:M&m;antruiz@email.es;3/07/2001;14;1,64;18
133;Juan Antonio;Lopez;Garcia;H;lopez67;"RKk%7xD6v;bwWr!";lopez67@mail.net;15/04/1994;71;1,81;25
134;Jose;Ortiz;Martinez;H;josortiz;"M]Btn+(V4CPkZ;G";josortiz@email.net;2/09/1977;41;1,58;42
135;alvaro;Fernandez;Garcia;H;alvarofernandez;E3VF(rX7i,H@[y#;alvarofernandez@mail.net;14/06/1977;74;1,53;42
136;Rafael;Casal;Sanchez;H;rafael.casal;59f.:gw9(r#,v-E;rafael.casal@correo.net;26/07/1937;97;1,73;82
137;Javier;Mesa;Exposito;H;mesa38;BzHp{qR5Cx@8Z:z;mesa38@mail.com;21/11/1994;24;1,55;24
138;Jorge;De la Calle;Fernandez;H;jordelacalle55;"P#HLTY#-8=4D;iE";jordelacalle55@email.net;26/11/1959;42;1,64;59
139;Alberto;Segovia;Fernandez;H;segovia57;u#qPWqxDt7a.]Fe;segovia57@email.net;15/11/1953;30;1,88;65
140;Pedro;Moreno;Martin;H;pmoreno40;MX[q}[cb*eJt/=d;pmoreno40@mail.com;13/11/1951;18;1,51;67
141;Jose;Nieto;Sanchez;H;jesnieto89;Ee#DXx.!ZRt7jyL;jesnieto89@mail.com;8/10/1976;57;1,52;43
142;David;Castellanos;Rubio;H;davidcastellanos;!yUNqD8Y)x3)u_};davidcastellanos@mail.com;6/02/1944;68;1,67;75
143;Jose;Bernabe;Del Hoyo;H;jose.bernabe;@8crU@VMMEj+k?t;jose.bernabe@correo.es;9/12/1939;52;1,55;79
144;Pedro;Buendia;Aguilar;H;buendia96;fM&--AxydCq*8%d;buendia96@correo.es;20/02/1949;73;1,67;70
145;Javier;Lopez;Lopez;H;javierlopez;c!kM$8Wg/i7iDf);javierlopez@correo.com;15/03/1981;68;1,75;38
146;Ruben;Cordoba;Benavides;H;rub.cordoba;z4TUdtSzn6N47TL;rub.cordoba@mail.com;28/03/1971;97;1,63;48
147;Manuel;Torres;Hernandez;H;mantorres16;kH$M-3!(N?8VGbU;mantorres16@correo.es;13/06/1935;66;1,93;84
148;Luis;Moreno;Martinez;H;luismoreno17;"9!gm/b?B;]/iV#t";luismoreno17@mail.es;17/08/1991;11;1,99;28
149;Manuel;Colomer;Castro;H;manuelcolomer74;"$BWtY!]=rLZ-;-R";manuelcolomer74@email.com;27/07/1984;54;1,74;35
150;Ramon;Murillo;Martinez;H;rmurillo;u?Y33M6yq8fEk-[;rmurillo@email.net;3/04/1969;38;1,75;50
151;Josep Maria;Pico;Fernandez;H;josepmariapico;2_}x.XeF4Dem6di;josepmariapico@correo.es;14/12/1984;78;1,98;34
152;Manuel;Marquez;Garcia;H;manmarquez;PB{g@%AU$iPZY9?;manmarquez@email.es;6/10/1947;52;1,61;72
153;Jorge;Domingo;Arenas;H;jordomingo;(.(3DRc?KVYzCAy;jordomingo@mail.net;16/08/1968;80;1,89;51
154;Fernando;Martinez;Perez;H;fermartinez;"wnZcJ9]xc;k&*T5";fermartinez@mail.es;25/11/1952;35;1,98;66
155;Josep;Sanchez;Garcia;H;jossanchez;#qr=P]J]L[L$%5K;jossanchez@email.es;8/11/1974;25;1,60;44
156;Enrique;Muñoz;Sanchez;H;enr.muñoz;N4P)aq=Cj6Yq*.k;enr.muñoz@email.net;20/06/1961;4;1,59;58
157;Francisco;Tamayo;Rodriguez;H;tamayo7;MA]%V(Qzu,Z]7,,;tamayo7@mail.com;1/07/1976;71;1,90;43
158;Joan;Sebastia;Martinez;H;jsebastia71;:N%{A+LFF8$Xn:[;jsebastia71@email.com;4/08/1961;9;1,54;58
159;Ruben;Rodriguez;Palomo;H;rubenrodriguez91;%W[7?_t6!?4)-t%;rubenrodriguez91@correo.es;11/09/1961;99;1,95;58
160;Enrique;Garcia;Dominguez;H;enrgarcia;u}-/:_@NgxzQuqY;enrgarcia@correo.net;11/07/1990;62;1,95;29
161;Santiago;Estevez;Vargas;H;santiagoestevez10;zHw9QE@eQfQQ+p,;santiagoestevez10@mail.net;1/02/1960;94;1,90;59
162;Fernando;Bilbao;Bas;H;bilbao58;g2Db$RH)&H_L*jZ;bilbao58@correo.net;9/08/1947;57;1,62;72
163;Jose Luis;Novo;Cuervo;H;josnovo;_WMQ76Q72:Mf-fx;josnovo@correo.com;23/09/1986;65;1,93;33
164;Ramon;Zamora;Llorente;H;rzamora5;";f{kR/m4,ttr)SX";rzamora5@mail.net;18/01/1939;30;1,56;80
165;Jose Manuel;Mateos;Guillen;H;josmateos;7M/!aC8:M/T4bM};josmateos@correo.com;20/04/1972;60;1,51;47
166;Juan;Rodriguez;Dominguez;H;juarodriguez;g[PA+)iKFe+kH,r;juarodriguez@mail.net;9/02/1966;55;1,97;53
167;Manuel;Canal;Leon;H;mancanal;"!;S+@,r4x)G%wLu";mancanal@email.com;27/02/1992;92;2,00;27
168;Juan;Duran;Pulido;H;jduran;y$Bhyr-aa)}CG,$;jduran@correo.net;10/01/1962;100;1,64;57
169;Luis;Jordan;Moreno;H;luisjordan;"w*%v3!X!b;E+Hmk";luisjordan@correo.com;7/09/1958;54;2,00;61
170;Jose;Bautista;Doblas;H;josbautista76;8zYEi9kW/_rrvaM;josbautista76@email.com;13/04/1957;36;1,63;62
171;Javier;Ibarra;Rubio;H;javieribarra;+aMw2*dD5v/}8Q/;javieribarra@mail.es;27/03/1935;62;1,95;84
172;Eduardo;Caballero;Lara;H;edu.caballero;H,[#+Pt#nKrLn)H;edu.caballero@mail.net;26/10/1951;34;1,78;68
173;Sergio;Diaz;Simon;H;sergiodiaz46;!FxG@aj{H-:k.wy;sergiodiaz46@correo.com;30/09/1936;12;1,91;83
174;Fernando;Mateos;Quintero;H;f.mateos;]}H4U?n&!pHH5N7;f.mateos@email.es;3/01/1948;80;1,60;71
175;Jose Luis;Miñana;Hernandez;H;jos.miñana;r@.a.DEJw*p-G!J;jos.miñana@mail.com;6/10/1984;94;1,55;35
176;alvaro;Rodriguez;Molina;H;rodriguez78;"dzBC$uh.ba)z)p;";rodriguez78@correo.net;23/02/1982;47;1,82;37
177;Jose Luis;Saez;Soto;H;j.saez;[kPRQ-a=rm]ABPq;j.saez@correo.com;6/03/1974;55;1,82;45
178;Rafael;Da Costa;Sanchez;H;d17;c%%nW9A[yn!V.-H;d17@correo.com;27/10/1953;13;1,69;66
179;Manuel;Pastor;Delgado;H;manuelpastor;"HaYw_;#6!X+V#8J";manuelpastor@correo.net;22/12/1993;7;1,89;25
180;Jose;Porras;Toscano;H;jesus.porras;A.=:*_&at??K/n#;jesus.porras@mail.es;19/11/1941;68;1,54;77
181;Jose;Cabello;Alfonso;H;j.cabello;"ATS=J24.D{L]E;y";j.cabello@correo.es;19/07/1945;43;1,99;74
182;Jose;Duran;Diz;H;jose.duran;#Dj]xLD#Z()*quU;jose.duran@email.net;7/01/1973;26;1,81;46
183;Pedro;Suarez;Moran;H;pedrosuarez;TraR#2G3UBjz*EW;pedrosuarez@email.net;10/11/1937;22;1,93;81
184;Javier;Madrid;Arroyo;H;jav.madrid;2bWZR=xHf],*KnC;jav.madrid@correo.net;4/01/1966;37;1,69;53
185;Jose;Martinez;Lorente;H;josemartinez100;?-:aRxSfUU8y:(*;josemartinez100@mail.es;9/02/1941;65;1,96;78
186;Enrique;Merino;Hernandez;H;e.merino;J&**hT55jLmxEBe;e.merino@mail.com;14/01/1937;34;1,53;82
187;Roberto;Benitez;Torres;H;robbenitez40;"c)iZ){K=X/_L?D;";robbenitez40@mail.net;11/10/1979;27;1,65;40
188;Salvador;Jordan;Rodriguez;H;saljordan;qY9@byM&PuFTyja;saljordan@email.es;17/08/1941;22;1,60;78
189;Francisco;Recuero;De las Heras;H;franciscorecuero;"6J?hu?2tG=i;nLM";franciscorecuero@mail.net;14/09/1939;2;1,94;80
190;angel;Arango;Alsina;H;angel.arango;.$y)bu(b!2Z2?T9;angel.arango@email.es;17/05/1951;3;1,84;68
191;Jose;Lopez;Ventura;H;lopez26;,qw%&[N4p(n#S.];lopez26@mail.es;3/01/1944;23;1,82;75
192;Javier;Cortes;Jimenez;H;cortes76;_EWCY+WWcTGeabY;cortes76@correo.com;4/04/1956;27;1,75;63
193;Jose;Mayo;Hernandez;H;may-74;"7e8v$JvSH67F45;";mayo74@mail.com;22/08/1956;76;1,67;63
194;Antonio;Baños;Rodriguez;H;antoniobaños36;";hCa&52?(t+Ei4T";antoniobaños36@email.es;27/05/1995;24;1,82;24
195;Jaime;Jimenez;Martin;H;jimenez37;HCD_!Bq@%R[7]=P;jimenez37@correo.com;7/11/1997;18;1,74;21
196;Pablo;Sanchez;Arrieta;H;psanchez;"A;=Nxmnz(fgRr[b";psanchez@email.com;16/05/1961;57;1,90;58
197;Salvador;Alonso;Perez;H;sal.alonso;jvwM=bk4]?z@LjZ;sal.alonso@email.net;21/06/1998;36;1,98;21
198;Javier;Garcia;Alcaraz;H;javgarcia92;Qi4WNVqA=Ta=86_;javgarcia92@email.com;13/04/1969;13;1,54;50
199;Aitor;Serrano;Blanco;H;ait.serrano;c{9y{:AU,E[z87#;ait.serrano@mail.es;23/10/1961;40;1,60;58
200;Carlos;Pinedo;Abella;H;cpinedo;"i8z43Z)B;e_aMTT";cpinedo@mail.net;25/01/1966;98;2,00;53
201;Jorge;Miguez;Bueno;H;jorge.miguez;p(ti*p9,(:(?3Zr;jorge.miguez@email.es;16/09/1992;61;1,62;27
202;Santiago;Quiros;Vivas;H;squiros;NKF8,WFw(tXGAt$;squiros@email.com;6/11/1937;10;1,67;81
